"Year","Municipality","fetal_numb_pc","fetal_numb","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","counter","count_balance","count_treat","fetal_numb25","fetal_numb25_sum"
2011,9010,9.24264081593173,172,0,0,0,0,0,0,0,13,727034,9,7,7,68,4,3990,76,302,1,0.0116279069767442,0.924418604651163,0.0174418604651163,0.0174418604651163,0,0,0.0232558139534884,0.00581395348837209,26.6279069767442,8.74418604651163,0.168604651162791,0.505813953488372,0.325581395348837,0.0406976744186047,0.13953488372093,0.651162790697674,0.162790697674419,0.00581395348837209,0.455089820359281,0.323353293413174,0.00598802395209581,0.215568862275449,0.197674418604651,0.436046511627907,0.0755813953488372,2.39656,16748,1.94973,13625.006,186094,5,0.203592814371257,0,0,0,0,1,10,5,1,10
2012,9010,7.3081345986437,136,0,0,0,0,0,0,0,13,727034,9,7,7,68,4,3990,73,349,1,0,0.882352941176471,0.0147058823529412,0.0367647058823529,0.00735294117647059,0,0,0,27.6764705882353,10.9632352941176,0.169117647058824,0.397058823529412,0.433823529411765,0.0147058823529412,0.110294117647059,0.330882352941176,0.345588235294118,0.198529411764706,0.455882352941176,0.352941176470588,0,0.191176470588235,0.157894736842105,0.578947368421053,0.0451127819548872,2.39656,16748,1.94973,13625.006,186094,5,0.0451127819548872,0,0,0,0,1,10,5,1,10
2013,9010,9.67253108644019,180,1,1,0,0,0,0,0,13,727034,9,7,7,68,4,3990,126,607,1,0.0111111111111111,0.727777777777778,0.05,0.0388888888888889,0,0.00555555555555556,0,0.0111111111111111,27.2944444444444,11.4555555555556,0.133333333333333,0.455555555555556,0.411111111111111,0,0.0388888888888889,0.377777777777778,0.377777777777778,0.205555555555556,0.488888888888889,0.316666666666667,0.00555555555555556,0.188888888888889,0.210526315789474,0.497076023391813,0.0233918128654971,2.39656,16748,1.94973,13625.006,186094,5,0.0467836257309941,0,0,0,0,1,10,5,1,10
2014,9010,7.25439831483014,135,1,1,1,1,1,0,0,13,727034,9,7,7,68,4,3990,178,683,1,0.00740740740740741,0.703703703703704,0.0222222222222222,0.0222222222222222,0,0,0,0.037037037037037,27.0888888888889,11.5259259259259,0.185185185185185,0.437037037037037,0.377777777777778,0,0.0592592592592593,0.325925925925926,0.4,0.214814814814815,0.437037037037037,0.303703703703704,0.00740740740740741,0.251851851851852,0.203252032520325,0.463414634146341,0.0569105691056911,2.39656,16748,1.94973,13625.006,186094,5,0.0975609756097561,0,0,0,0,1,10,5,1,10
2015,9010,8.27538770728771,154,1,1,1,1,1,1,1,13,727034,9,7,7,68,4,3990,217,735,1,0.00649350649350649,0.662337662337662,0.0194805194805195,0.012987012987013,0,0,0,0.025974025974026,26.974025974026,11.72,0.162337662337662,0.480519480519481,0.357142857142857,0.0133333333333333,0.0584415584415584,0.285714285714286,0.344155844155844,0.272727272727273,0.509933774834437,0.28476821192053,0,0.205298013245033,0.238805970149254,0.462686567164179,0.0373134328358209,2.39656,16748,1.94973,13625.006,186094,5,0.0977443609022556,0,0,0,0,1,10,5,1,10
2016,9010,8.27538770728771,154,1,1,1,1,1,1,1,13,727034,9,7,7,68,4,3990,196,650,1,0,0.733766233766234,0.025974025974026,0.025974025974026,0,0.00649350649350649,0,0.025974025974026,27.2727272727273,11.4276315789474,0.136363636363636,0.512987012987013,0.350649350649351,0,0.0909090909090909,0.292207792207792,0.38961038961039,0.214285714285714,0.506849315068493,0.287671232876712,0,0.205479452054795,0.301470588235294,0.433823529411765,0.0367647058823529,2.39656,16748,1.94973,13625.006,186094,5,0.083969465648855,0,0,0,0,1,10,5,1,10
2017,9010,9.61879480262663,179,1,1,1,1,1,1,1,13,727034,9,7,7,68,4,3990,435,743,1,0.0167597765363128,0.675977653631285,0.0837988826815642,0.0167597765363128,0,0,0,0.0167597765363128,28.0446927374302,11.2569832402235,0.150837988826816,0.396648044692737,0.452513966480447,0,0.11731843575419,0.29608938547486,0.374301675977654,0.212290502793296,0.53448275862069,0.316091954022989,0.00574712643678161,0.14367816091954,0.2625,0.4625,0.0375,2.39656,16748,1.94973,13625.006,186094,5,0.0628930817610063,0,0,0,0,1,10,5,1,10
2008,9011,9.42496974370508,88,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,642,383,1,0,0.920454545454545,0,0.0454545454545455,0,0,0,0.0227272727272727,25.3863636363636,8.29545454545454,0.25,0.443181818181818,0.306818181818182,0.0681818181818182,0.147727272727273,0.681818181818182,0.0909090909090909,0.0113636363636364,0.609195402298851,0.206896551724138,0,0.183908045977011,0.102272727272727,0.261363636363636,0.0909090909090909,3.4339499,13547,2.87463,11340.875,93369,11,0,0,0,0,1,1,10,4,1,10
2009,9011,10.6030909616682,99,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,179,263,1,0,0.95959595959596,0.0303030303030303,0,0,0,0.0101010101010101,0,25.1414141414141,8.63636363636364,0.232323232323232,0.545454545454545,0.222222222222222,0.0101010101010101,0.171717171717172,0.737373737373737,0.0808080808080808,0,0.489795918367347,0.336734693877551,0,0.173469387755102,0.141414141414141,0.272727272727273,0.0505050505050505,3.4339499,13547,2.87463,11340.875,93369,11,0,0,0,0,1,1,10,4,1,10
2010,9011,10.4959890327625,98,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,225,324,1,0,0.877551020408163,0.0612244897959184,0.0204081632653061,0,0,0.0408163265306122,0,25.5612244897959,8.39795918367347,0.193877551020408,0.510204081632653,0.295918367346939,0.0408163265306122,0.183673469387755,0.683673469387755,0.0816326530612245,0.0102040816326531,0.505154639175258,0.298969072164948,0.0103092783505155,0.185567010309278,0.193877551020408,0.357142857142857,0.0510204081632653,3.4339499,13547,2.87463,11340.875,93369,11,0.247422680412371,0,0,0,1,1,10,4,1,10
2011,9011,10.3888871038567,97,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,253,333,0.989690721649485,0,0.927835051546392,0.0618556701030928,0,0,0,0,0,25.8762886597938,7.88659793814433,0.268041237113402,0.412371134020619,0.319587628865979,0.0721649484536082,0.216494845360825,0.649484536082474,0.0618556701030928,0,0.578947368421053,0.263157894736842,0.0105263157894737,0.147368421052632,0.319587628865979,0.237113402061856,0.0824742268041237,3.4339499,13547,2.87463,11340.875,93369,11,0.305263157894737,0,0,0,0.978494623655914,1,10,4,1,10
2012,9011,11.9954160374428,112,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,188,268,0.964285714285714,0,0.857142857142857,0.0267857142857143,0.0446428571428571,0,0,0.0178571428571429,0,25.2857142857143,10.2636363636364,0.241071428571429,0.455357142857143,0.303571428571429,0,0.133928571428571,0.419642857142857,0.339285714285714,0.0892857142857143,0.54954954954955,0.27027027027027,0.00900900900900901,0.171171171171171,0.509090909090909,0.218181818181818,0.0454545454545455,3.4339499,13547,2.87463,11340.875,93369,11,0.100917431192661,0,0,0,1,1,10,4,1,10
2013,9011,13.0664353265002,122,0,0,0,0,0,0,0,13,360265,10,5,66,59,4,3021,124,385,1,0,0.786885245901639,0.00819672131147541,0.0573770491803279,0,0.0245901639344262,0,0.0163934426229508,26.4016393442623,10.25,0.188524590163934,0.508196721311475,0.30327868852459,0.0166666666666667,0.122950819672131,0.426229508196721,0.295081967213115,0.122950819672131,0.491666666666667,0.258333333333333,0.00833333333333333,0.241666666666667,0.435897435897436,0.256410256410256,0.0683760683760684,3.4339499,13547,2.87463,11340.875,93369,11,0.12280701754386,0,0,0,1,1,10,4,1,10
2014,9011,12.8522314686888,120,1,1,0,0,0,0,0,13,360265,10,5,66,59,4,3021,83,363,1,0,0.816666666666667,0.05,0.0166666666666667,0,0.00833333333333333,0,0.0416666666666667,25.9416666666667,10.35,0.175,0.541666666666667,0.283333333333333,0,0.125,0.4,0.4,0.075,0.541666666666667,0.3,0.00833333333333333,0.15,0.513513513513513,0.216216216216216,0.0720720720720721,3.4339499,13547,2.87463,11340.875,93369,11,0.144144144144144,0,0,0,1,1,10,4,1,10
2015,9011,12.9593333975945,121,1,1,1,1,1,1,0,13,360265,10,5,66,59,4,3021,73,331,0.958677685950413,0.00826446280991736,0.785123966942149,0.0247933884297521,0.00826446280991736,0,0.0165289256198347,0,0,25.404958677686,11.2314049586777,0.206611570247934,0.495867768595041,0.297520661157025,0,0.0495867768595041,0.355371900826446,0.446280991735537,0.148760330578512,0.588235294117647,0.226890756302521,0.0252100840336134,0.159663865546218,0.459459459459459,0.288288288288288,0.0540540540540541,3.4339499,13547,2.87463,11340.875,93369,11,0.110091743119266,0,0,0,1,1,10,4,1,10
2016,9011,12.9593333975945,121,1,1,1,1,1,1,1,13,360265,10,5,66,59,4,3021,152,481,0.983471074380165,0,0.826446280991736,0.0495867768595041,0.0165289256198347,0,0.00826446280991736,0,0,26.702479338843,10.6,0.181818181818182,0.479338842975207,0.338842975206612,0.00833333333333333,0.0743801652892562,0.413223140495868,0.396694214876033,0.0991735537190083,0.601694915254237,0.220338983050847,0,0.177966101694915,0.495327102803738,0.224299065420561,0.0186915887850467,3.4339499,13547,2.87463,11340.875,93369,11,0.0849056603773585,0,0,0,1,1,10,4,1,10
