"Year","Municipality","birth_numb","fetal_growth","lbw","lbw_v","weight","female","gest_age","preterm","preterm_v","resp_problem","height","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb_cat","wrk","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","tao_lg5_mt_lmbirth","tao_lg4_mt_lmbirth","tao_lg3_mt_lmbirth","tao_lg2_mt_lmbirth","tao_lg1_mt_lmbirth","tao_lg0_mt_lmbirth","tao_ld1_mt_lmbirth","tao_ld2_mt_lmbirth","tao_ld3_mt_lmbirth","tao_ld4_mt_lmbirth","State","counter","count_balance","count_treat","birth_numb25","birth_numb25_sum"
2010,7072,188,76.112597398627,0.152866242038217,0.00636942675159236,2979.87261146497,0.550802139037433,39.1,0.0625,0.00625,0.356382978723404,48.7798742138365,0,0,0,0,0,0,0,10,31075,16,3,8,66,1,885,0,0,0.856382978723404,0.00531914893617021,0,0,0,0,0,0,0,0.00531914893617021,24.5053191489362,5.77659574468085,0.223404255319149,0.606382978723404,0.170212765957447,0.159574468085106,0.595744680851064,0.24468085106383,0,0,0.585106382978723,0.382978723404255,0.00531914893617021,0.0265957446808511,0.680851063829787,0,0.175531914893617,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.0159574468085106,0.973404255319149,0.877659574468085,0,0,1,0,0,0,0,0,0,0,7,1,10,5,1,10
2011,7072,186,78.7160224714041,0.0394736842105263,0.00657894736842105,3111.76973684211,0.483870967741935,39.3024691358025,0.0185185185185185,0.00617283950617284,0.17741935483871,49.7098765432099,0,0,0,0,0,0,0,10,31075,16,3,8,66,1,885,90,1096,0.940860215053763,0.0161290322580645,0,0,0.00537634408602151,0,0,0,0,0.010752688172043,24.1989247311828,6.09677419354839,0.290322580645161,0.532258064516129,0.17741935483871,0.172043010752688,0.483870967741935,0.311827956989247,0.032258064516129,0,0.483870967741935,0.456989247311828,0.00537634408602151,0.0537634408602151,0.693548387096774,0.0376344086021505,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.00537634408602151,0.989247311827957,0.967741935483871,0,0,0,1,0,0,0,0,0,0,7,1,10,5,1,10
2012,7072,211,78.8179909298204,0.0558659217877095,0,3105.41899441341,0.5260663507109,38.8777777777778,0.0666666666666667,0.00555555555555556,0.298578199052133,49.1818181818182,0,0,0,0,0,0,0,10,31075,16,3,8,66,1,885,547,3326,0.928909952606635,0.004739336492891,0,0,0.004739336492891,0,0,0,0,0,24.6350710900474,6.12796208530806,0.303317535545024,0.464454976303318,0.232227488151659,0.132701421800948,0.559241706161137,0.308056872037915,0,0,0.511848341232227,0.464454976303318,0,0.023696682464455,0.909952606635071,0.033175355450237,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.014218009478673,0.990521327014218,0.966824644549763,0,0,0,0,1,0,0,0,0,0,7,1,10,5,1,10
2013,7072,307,77.1795255397609,0.0625,0,3043.5375,0.509803921568627,39.2798507462687,0.0485074626865672,0,0.195439739413681,49.2386363636364,1,1,0,0,0,0,0,10,31075,16,3,8,66,1,885,165,2086,0.781758957654723,0.00325732899022801,0,0,0.00325732899022801,0,0,0,0,0,25.7231270358306,6.23452768729642,0.221498371335505,0.49185667752443,0.286644951140065,0.120521172638436,0.560260586319218,0.319218241042345,0,0,0.583061889250814,0.384364820846906,0.00651465798045603,0.0260586319218241,0.892508143322476,0.0228013029315961,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.0195439739413681,0.973941368078176,0.788273615635179,0,0,0,0,0.263843648208469,0.736156351791531,0,0,0,0,7,1,10,5,1,10
2014,7072,482,78.8948028583433,0.0480769230769231,0,3107.60576923077,0.488469601677149,39.2917933130699,0.0516717325227964,0.00303951367781155,0.385892116182573,49.5601265822785,1,1,1,1,1,1,0,10,31075,16,3,8,66,1,885,1296,5590,0.742738589211618,0.0020746887966805,0,0,0,0,0,0,0,0.0020746887966805,25.4730290456432,6.54771784232365,0.246887966804979,0.470954356846473,0.282157676348548,0.145228215767635,0.464730290456432,0.307053941908714,0.0829875518672199,0,0.612033195020747,0.348547717842324,0.0020746887966805,0.037344398340249,0.929460580912863,0.012448132780083,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.037344398340249,0.973029045643154,0.715767634854772,0,0,0,0,0,0,1,0,0,0,7,1,10,5,1,10
2015,7072,506,77.9739160811361,0.0750750750750751,0.00600600600600601,3049.88888888889,0.492094861660079,38.9728997289973,0.046070460704607,0.00542005420054201,0.341897233201581,49.1813031161473,1,1,1,1,1,1,1,10,31075,16,3,8,66,1,885,0,0,0.687747035573123,0.00197628458498024,0,0,0,0,0.00197628458498024,0,0,0,24.5632411067194,7.06719367588933,0.260869565217391,0.511857707509881,0.227272727272727,0.104743083003953,0.444664031620553,0.33596837944664,0.114624505928854,0,0.640316205533597,0.312252964426877,0.0158102766798419,0.0316205533596838,0.897233201581028,0.00988142292490119,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.0237154150197628,0.934782608695652,0.569169960474308,0,0,0,0,0,0,0,1,0,0,7,1,10,5,1,10
2016,7072,239,77.0630037424134,0.104347826086957,0.0173913043478261,2994.87826086957,0.527426160337553,38.5970149253731,0.141791044776119,0.0373134328358209,0.610878661087866,49.0588235294118,1,1,1,1,1,1,1,10,31075,16,3,8,66,1,885,219,2308,0.769874476987448,0.00418410041841004,0,0,0,0,0,0,0,0.00418410041841004,24.6192468619247,6.5020920502092,0.246861924686192,0.548117154811716,0.205020920502092,0.150627615062762,0.443514644351464,0.343096234309623,0.0627615062761506,0,0.635983263598326,0.271966527196653,0.0209205020920502,0.0711297071129707,0.836820083682008,0.0418410041841004,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.0251046025104603,0.920502092050209,0.673640167364017,0,0,0,0,0,0,0,0,1,0,7,1,10,5,1,10
2017,7072,317,78.3245785017924,0.0631067961165049,0.00970873786407767,3055.12621359223,0.495238095238095,38.9009900990099,0.0742574257425743,0.0099009900990099,0.539432176656151,49.1634615384615,1,1,1,1,1,1,1,10,31075,16,3,8,66,1,885,195,2957,0.753943217665615,0.00630914826498423,0,0,0,0,0.00315457413249211,0,0,0.00315457413249211,24.6687697160883,6.9179810725552,0.258675078864353,0.511041009463722,0.230283911671924,0.116719242902208,0.438485804416404,0.350157728706625,0.0946372239747634,0,0.630914826498423,0.321766561514196,0.0189274447949527,0.028391167192429,0.801261829652997,0.0946372239747634,0,54.300388,18571,35.58614,12170.815,7078,77,1,1,0.0315457413249211,0.946372239747634,0.675078864353312,0,0,0,0,0,0,0,0,0,1,7,1,10,5,1,10
2008,7073,30,79.3485447460924,0.0344827586206897,0,3124.48275862069,0.433333333333333,39.4,0,0,0.233333333333333,48.25,0,0,0,0,0,0,0,9,9002,16,5,2,68,5,967,239,1264,0.733333333333333,0,0,0,0,0,0,0,0,0,25.9,5.93333333333333,0.166666666666667,0.566666666666667,0.266666666666667,0.266666666666667,0.366666666666667,0.266666666666667,0.0666666666666667,0.0333333333333333,0.633333333333333,0.3,0,0.0666666666666667,0.833333333333333,0,0,48.76046,4833,28.282021,2803.031,1984,75,1,1,0,0,0.766666666666667,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
2009,7073,43,80.4944864634451,0.0465116279069767,0,3131.58139534884,0.511627906976744,38.9523809523809,0.0714285714285714,0,0.209302325581395,49.2093023255814,0,0,0,0,0,0,0,9,9002,16,5,2,68,5,967,273,1663,0.744186046511628,0,0,0,0,0,0,0,0,0,26.6976744186047,6.97674418604651,0.209302325581395,0.465116279069767,0.325581395348837,0.162790697674419,0.372093023255814,0.27906976744186,0.186046511627907,0,0.674418604651163,0.302325581395349,0.0232558139534884,0,0.790697674418605,0,0,48.76046,4833,28.282021,2803.031,1984,75,1,1,0,0,0.744186046511628,1,0,0,0,0,0,0,0,0,0,7,1,10,4,1,10
