"Year","Municipality","birth_numb","fetal_growth","lbw","lbw_v","weight","female","gest_age","preterm","preterm_v","resp_problem","height","sh_e_mt_lmbirth","sh_e_mt_fmtrim1","sh_e_mt_fmtrim2","sh_e_mt_fmtrim3","sh_e_mt_fmtrim4","sh_e_mt_fmtrim5","sh_e_mt_fmtrim6","log_pop_tot_2010","pop_tot_2010","pop_5_2010","pop_65_2010","farming_land_2005","hi_2010","unemp_2010","ing_ctpc_2010","exp_transfers_pc","exp_public_inv_pc","urb_cat","wrk","tra_1","tra_2","tra_4","tra_5","tra_6","tra_7","tra_8","tra_9","age_mother","years_edu","eda_1","eda_2","eda_3","edu_1","edu_2","edu_3","edu_4","edu_5","mar_1","mar_2","mar_3","mar_4","ins_1","ins_2","ins_3","pov_per_2010","pov_num_2010","pov_food_per_2010","pov_food_num_2010","pop_mun_fem_1544_2010","income_lbm_2010","income_eligible_lb","income_eligible_lbm","tarjetasinhambre","ever_loc_k","loc_stores","tao_lg5_mt_lmbirth","tao_lg4_mt_lmbirth","tao_lg3_mt_lmbirth","tao_lg2_mt_lmbirth","tao_lg1_mt_lmbirth","tao_lg0_mt_lmbirth","tao_ld1_mt_lmbirth","tao_ld2_mt_lmbirth","tao_ld3_mt_lmbirth","tao_ld4_mt_lmbirth","State","counter","count_balance","count_treat","birth_numb25","birth_numb25_sum"
2016,7022,65,80.8110163889328,0.0535714285714286,0,3134.41071428571,0.384615384615385,38.9375,0.046875,0.015625,0.0307692307692308,49.2631578947368,1,1,1,1,1,1,1,10,14027,19,2,12,50,1,446,308,5139,0.538461538461538,0,0,0,0,0,0,0,0,0,26.2769230769231,5.4,0.169230769230769,0.523076923076923,0.307692307692308,0.230769230769231,0.523076923076923,0.230769230769231,0.0153846153846154,0,0.846153846153846,0.0923076923076923,0.0153846153846154,0.0461538461538462,0.830769230769231,0.0307692307692308,0,79.801468,11474,41.792419,6008.9141,3070,93,1,1,0.0461538461538462,0,0.2,0,0,0,0,0,0,0,0,1,0,7,1,10,5,1,10
2017,7022,102,77.9883114261382,0.0804597701149425,0.0229885057471264,3018.81609195402,0.5,38.59,0.07,0.03,0.0784313725490196,48.7553191489362,1,1,1,1,1,1,1,10,14027,19,2,12,50,1,446,400,4435,0.323529411764706,0.00980392156862745,0,0,0,0,0.00980392156862745,0,0,0,25.0098039215686,4.55882352941176,0.235294117647059,0.519607843137255,0.245098039215686,0.333333333333333,0.5,0.147058823529412,0.0196078431372549,0,0.892156862745098,0.0784313725490196,0,0.0294117647058824,0.764705882352941,0.176470588235294,0,79.801468,11474,41.792419,6008.9141,3070,93,1,1,0.0686274509803922,0.0686274509803922,0.225490196078431,0,0,0,0,0,0,0,0,0,1,7,1,10,5,1,10
2008,7023,136,77.6550493986253,0.0900900900900901,0.018018018018018,3058.27027027027,0.419117647058824,38.6440677966102,0.0677966101694915,0,0.0882352941176471,48.1363636363636,0,0,0,0,0,0,0,11,76941,17,4,47,46,2,553,94,1958,0.132352941176471,0.0220588235294118,0,0,0,0,0.0220588235294118,0,0,0,27.5294117647059,2.55882352941176,0.0514705882352941,0.647058823529412,0.301470588235294,0.588235294117647,0.389705882352941,0.0147058823529412,0.00735294117647059,0,0.948529411764706,0.0367647058823529,0.00735294117647059,0.00735294117647059,0.338235294117647,0,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0,0.00735294117647059,0,1,0,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2009,7023,157,76.8376580157433,0.123376623376623,0.025974025974026,3016.16233766234,0.412903225806452,38.9934210526316,0.0592105263157895,0.0263157894736842,0.286624203821656,47.961038961039,0,0,0,0,0,0,0,11,76941,17,4,47,46,2,553,0,0,0.222929936305732,0.0955414012738854,0,0,0,0,0.0636942675159236,0.0318471337579618,0,0,27.9235668789809,3.93630573248408,0.0955414012738854,0.535031847133758,0.369426751592357,0.375796178343949,0.56687898089172,0.0509554140127389,0.00636942675159236,0,0.878980891719745,0.0955414012738854,0.0191082802547771,0.00636942675159236,0.464968152866242,0,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0,0.00636942675159236,0.0127388535031847,0,1,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2010,7023,160,74.1601507987765,0.181818181818182,0.012987012987013,2923.4025974026,0.550632911392405,39.0952380952381,0.0884353741496599,0,0.41875,48.0709677419355,0,0,0,0,0,0,0,11,76941,17,4,47,46,2,553,0,0,0.3375,0.01875,0,0,0.00625,0,0.00625,0.00625,0,0,25.6875,4.36875,0.15,0.60625,0.24375,0.29375,0.6625,0.04375,0,0,0.86875,0.09375,0.01875,0.01875,0.56875,0,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0,0.00625,0.0375,0,0,1,0,0,0,0,0,0,0,7,1,10,5,1,10
2011,7023,179,78.330117673146,0.0540540540540541,0,3066.95945945946,0.452513966480447,39.1186440677966,0.0282485875706215,0,0.23463687150838,49.1666666666667,0,0,0,0,0,0,0,11,76941,17,4,47,46,2,553,477,2870,0.17877094972067,0.0279329608938547,0,0,0,0,0.00558659217877095,0.0223463687150838,0,0,26.7877094972067,3.75418994413408,0.173184357541899,0.497206703910615,0.329608938547486,0.418994413407821,0.508379888268156,0.0558659217877095,0.0167597765363128,0,0.826815642458101,0.156424581005587,0.0167597765363128,0,0.625698324022346,0.0335195530726257,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.0391061452513966,0.0335195530726257,0.0558659217877095,0,0,0,1,0,0,0,0,0,0,7,1,10,5,1,10
2012,7023,112,74.6837088345086,0.164948453608247,0.0309278350515464,2901.14432989691,0.455357142857143,38.4495412844037,0.128440366972477,0.0275229357798165,0.133928571428571,48.15,0,0,0,0,0,0,0,11,76941,17,4,47,46,2,553,0,0,0.535714285714286,0.0178571428571429,0,0,0.00892857142857143,0,0.00892857142857143,0,0,0,26.3303571428571,3.91071428571429,0.169642857142857,0.508928571428571,0.321428571428571,0.383928571428571,0.544642857142857,0.0714285714285714,0,0,0.857142857142857,0.0982142857142857,0.0178571428571429,0.0267857142857143,0.669642857142857,0.0714285714285714,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.00892857142857143,0.0178571428571429,0.0178571428571429,0,0,0,0,1,0,0,0,0,0,7,1,10,5,1,10
2013,7023,148,74.9742666690778,0.147286821705426,0.0310077519379845,2905.3488372093,0.469387755102041,38.3503649635037,0.109489051094891,0.0291970802919708,0.189189189189189,48.4598540145985,1,1,0,0,0,0,0,11,76941,17,4,47,46,2,553,0,0,0.310810810810811,0.0202702702702703,0,0,0.0135135135135135,0,0,0,0,0.00675675675675676,26.6959459459459,4.58108108108108,0.222972972972973,0.445945945945946,0.331081081081081,0.277027027027027,0.641891891891892,0.0810810810810811,0,0,0.831081081081081,0.148648648648649,0.0135135135135135,0.00675675675675676,0.675675675675676,0.0202702702702703,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.00675675675675676,0.00675675675675676,0.027027027027027,0,0,0,0,0.27027027027027,0.72972972972973,0,0,0,0,7,1,10,5,1,10
2014,7023,195,75.9083361361598,0.125,0.025,2948.8125,0.466321243523316,38.6321243523316,0.077720207253886,0.0310880829015544,0.143589743589744,48.9715909090909,1,1,1,1,1,1,0,11,76941,17,4,47,46,2,553,0,0,0.492307692307692,0.0205128205128205,0,0,0,0,0.0102564102564103,0.0102564102564103,0,0,26.4410256410256,5.24615384615385,0.220512820512821,0.487179487179487,0.292307692307692,0.246153846153846,0.538461538461538,0.18974358974359,0.0256410256410256,0,0.753846153846154,0.205128205128205,0.0102564102564103,0.0307692307692308,0.779487179487179,0.0307692307692308,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.00512820512820513,0.0153846153846154,0.0307692307692308,0,0,0,0,0,0,1,0,0,0,7,1,10,5,1,10
2015,7023,241,75.4853747346678,0.128865979381443,0.0206185567010309,2937.64948453608,0.435684647302905,38.8583333333333,0.0916666666666667,0.0125,0.170124481327801,48.8401826484018,1,1,1,1,1,1,1,11,76941,17,4,47,46,2,553,0,0,0.468879668049793,0.029045643153527,0,0,0.00829875518672199,0,0.004149377593361,0.00829875518672199,0,0.00829875518672199,25.7261410788382,5.21576763485477,0.211618257261411,0.493775933609959,0.294605809128631,0.240663900414938,0.556016597510373,0.186721991701245,0.016597510373444,0,0.780082987551867,0.190871369294606,0.012448132780083,0.016597510373444,0.83402489626556,0.020746887966805,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.004149377593361,0.00829875518672199,0.033195020746888,0,0,0,0,0,0,0,1,0,0,7,1,10,5,1,10
2016,7023,132,75.2048963663602,0.105769230769231,0.0384615384615385,2935.19230769231,0.424242424242424,38.5648854961832,0.129770992366412,0.0305343511450382,0.143939393939394,48.2644628099174,1,1,1,1,1,1,1,11,76941,17,4,47,46,2,553,0,0,0.378787878787879,0.00757575757575758,0,0,0,0,0,0.00757575757575758,0,0,26.1969696969697,5.22727272727273,0.212121212121212,0.46969696969697,0.318181818181818,0.204545454545455,0.651515151515151,0.136363636363636,0.00757575757575758,0,0.787878787878788,0.181818181818182,0.00757575757575758,0.0227272727272727,0.878787878787879,0.0151515151515152,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,1,0,7,1,10,5,1,10
2017,7023,208,74.5052033296956,0.136363636363636,0.0113636363636364,2898.9375,0.442307692307692,38.5812807881773,0.123152709359606,0.0246305418719212,0.0673076923076923,48.5531914893617,1,1,1,1,1,1,1,11,76941,17,4,47,46,2,553,321,4808,0.3125,0.0144230769230769,0,0,0.00961538461538462,0.00480769230769231,0,0,0,0,24.9278846153846,4.75961538461539,0.254807692307692,0.514423076923077,0.230769230769231,0.264423076923077,0.620192307692308,0.115384615384615,0,0,0.8125,0.153846153846154,0.00961538461538462,0.0240384615384615,0.769230769230769,0.120192307692308,0,69.677208,58092,25.46833,21233.711,18027,94,1,1,0.0288461538461538,0.0432692307692308,0.105769230769231,0,0,0,0,0,0,0,0,0,1,7,1,10,5,1,10
2008,7024,45,80.4913894173047,0.04,0,3157.44,0.4,38.5581395348837,0.302325581395349,0.0232558139534884,0.177777777777778,49.3636363636364,0,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,177,2514,1,0,0,0,0,0,0,0,0,0,26.8666666666667,5.13333333333333,0.0888888888888889,0.622222222222222,0.288888888888889,0.288888888888889,0.466666666666667,0.2,0.0444444444444444,0,0.911111111111111,0.0666666666666667,0,0.0222222222222222,0.844444444444444,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2009,7024,92,72.8117979224659,0.0909090909090909,0.0227272727272727,2900.70454545455,0.369565217391304,39.7582417582418,0.021978021978022,0,0.402173913043478,48.7954545454545,0,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,315,2286,0.91304347826087,0,0,0,0,0,0,0,0,0,26.2391304347826,5.57608695652174,0.184782608695652,0.521739130434783,0.293478260869565,0.271739130434783,0.380434782608696,0.293478260869565,0.0543478260869565,0,0.826086956521739,0.141304347826087,0.0108695652173913,0.0217391304347826,0.608695652173913,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.91304347826087,0.91304347826087,0.91304347826087,0,1,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2010,7024,133,73.1007699522901,0.0601503759398496,0.0075187969924812,2922.32330827068,0.616541353383459,39.936,0.024,0.008,0.699248120300752,48.5187969924812,0,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,397,1612,0.992481203007519,0,0,0,0,0,0,0,0,0,26.8721804511278,5.1203007518797,0.157894736842105,0.488721804511278,0.353383458646617,0.278195488721804,0.458646616541353,0.263157894736842,0,0,0.81203007518797,0.180451127819549,0,0.0075187969924812,0.804511278195489,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.992481203007519,0.992481203007519,0.992481203007519,0,0,1,0,0,0,0,0,0,0,7,1,10,5,1,10
2011,7024,89,77.3370972519221,0.025974025974026,0.012987012987013,3049.94805194805,0.51685393258427,39.3647058823529,0.0352941176470588,0.0117647058823529,0.471910112359551,48.9512195121951,0,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,221,2100,0.842696629213483,0.0337078651685393,0,0,0,0,0.0337078651685393,0,0,0,27.3033707865169,6.26966292134831,0.146067415730337,0.48314606741573,0.370786516853933,0.168539325842697,0.49438202247191,0.247191011235955,0.0898876404494382,0,0.797752808988764,0.179775280898876,0,0.0224719101123595,0.887640449438202,0,0.0112359550561798,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.842696629213483,0.955056179775281,0.842696629213483,0,0,0,1,0,0,0,0,0,0,7,1,10,5,1,10
2012,7024,56,77.8351678933916,0.0212765957446809,0,3074.55319148936,0.454545454545455,39.0943396226415,0.0377358490566038,0,0.178571428571429,48.8653846153846,0,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,245,4899,0.75,0.0178571428571429,0,0,0,0,0,0,0,0.0178571428571429,26.8214285714286,6.375,0.160714285714286,0.5,0.339285714285714,0.0714285714285714,0.660714285714286,0.267857142857143,0,0,0.714285714285714,0.214285714285714,0.0357142857142857,0.0357142857142857,0.910714285714286,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.75,0.964285714285714,0.75,0,0,0,0,1,0,0,0,0,0,7,1,10,5,1,10
2013,7024,32,77.6382006158081,0.0645161290322581,0,3038.67741935484,0.65625,38.78125,0.09375,0.03125,0.125,48.9666666666667,1,0,0,0,0,0,0,9,10817,21,4,14,86,0,672,390,5016,0.6875,0.0625,0,0,0,0,0.0625,0,0,0,28.6875,4.78125,0.0625,0.5,0.4375,0.28125,0.5625,0.15625,0,0,0.96875,0.03125,0,0,0.6875,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.6875,0.875,0.6875,0,0,0,0,0.34375,0.65625,0,0,0,0,7,1,10,5,1,10
2014,7024,30,78.7598816816785,0.0769230769230769,0,3063.42307692308,0.6,38.3,0.1,0.0333333333333333,0.0333333333333333,49.4642857142857,1,1,1,1,1,0,0,9,10817,21,4,14,86,0,672,389,4750,0.8,0.0666666666666667,0,0,0,0,0.0666666666666667,0,0,0,25.6,6.4,0.166666666666667,0.6,0.233333333333333,0.133333333333333,0.533333333333333,0.266666666666667,0.0666666666666667,0,0.8,0.1,0,0.1,0.833333333333333,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.8,0.866666666666667,0.8,0,0,0,0,0,0,1,0,0,0,7,1,10,5,1,10
2015,7024,50,76.2070373828319,0.146341463414634,0,2969.9512195122,0.5,38.86,0.08,0.02,0.14,48.3333333333333,1,1,1,1,1,1,1,9,10817,21,4,14,86,0,672,559,4590,0.82,0.02,0,0,0,0,0.02,0,0,0,26.4,6.6,0.26,0.4,0.34,0.16,0.44,0.28,0.12,0,0.88,0.08,0,0.04,0.92,0,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.82,0.92,0.82,0,0,0,0,0,0,0,1,0,0,7,1,10,5,1,10
2016,7024,50,74.7455578662795,0.2,0.0444444444444444,2929.71111111111,0.530612244897959,38.5833333333333,0.125,0.0208333333333333,0.04,48.3191489361702,1,1,1,1,1,1,1,9,10817,21,4,14,86,0,672,435,4779,0.88,0,0,0,0,0,0,0,0,0,27.84,6.18,0.02,0.66,0.32,0.2,0.38,0.38,0.04,0,0.88,0.1,0.02,0,0.86,0.04,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.88,0.98,0.88,0,0,0,0,0,0,0,0,1,0,7,1,10,5,1,10
2017,7024,53,76.5507764222912,0.0222222222222222,0,3026.66666666667,0.39622641509434,39.3396226415094,0.0188679245283019,0,0.0377358490566038,49.3541666666667,1,1,1,1,1,1,1,9,10817,21,4,14,86,0,672,396,4231,0.830188679245283,0,0,0,0,0,0,0,0,0,25.8490566037736,7.18867924528302,0.188679245283019,0.490566037735849,0.320754716981132,0.113207547169811,0.415094339622642,0.320754716981132,0.150943396226415,0,0.886792452830189,0.0754716981132075,0,0.0377358490566038,0.830188679245283,0.0377358490566038,0,69.052673,9086,55.152889,7257.0171,1969,93,1,1,0.830188679245283,0.981132075471698,0.830188679245283,0,0,0,0,0,0,0,0,0,1,7,1,10,5,1,10
2008,7026,65,81.7003874852639,0.0625,0,3203.10416666667,0.461538461538462,38.9076923076923,0.0769230769230769,0.0153846153846154,0.0153846153846154,48.6382978723404,0,0,0,0,0,0,0,10,36111,18,3,57,67,1,523,169,1639,0.2,0,0,0,0,0,0,0,0,0,27.2153846153846,3.41538461538462,0.0769230769230769,0.615384615384615,0.307692307692308,0.461538461538462,0.492307692307692,0.0307692307692308,0.0153846153846154,0,0.907692307692308,0.0769230769230769,0,0.0153846153846154,0.538461538461538,0,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.476923076923077,0.938461538461538,0.569230769230769,1,0,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2009,7026,91,75.449831183683,0.113636363636364,0,2992.89772727273,0.472527472527473,39.406976744186,0.0348837209302326,0,0.516483516483517,48.3409090909091,0,0,0,0,0,0,0,10,36111,18,3,57,67,1,523,233,3568,0.549450549450549,0.021978021978022,0,0,0,0,0.021978021978022,0,0,0,24.6703296703297,5.12087912087912,0.186813186813187,0.615384615384615,0.197802197802198,0.274725274725275,0.527472527472527,0.153846153846154,0.032967032967033,0.010989010989011,0.89010989010989,0.0879120879120879,0,0.021978021978022,0.615384615384615,0,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.626373626373626,0.934065934065934,0.659340659340659,0,1,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2010,7026,92,74.4543148132645,0.204545454545455,0.0454545454545455,2980.97727272727,0.543478260869565,38.8372093023256,0.104651162790698,0.0232558139534884,0.456521739130435,47.6,0,0,0,0,0,0,0,10,36111,18,3,57,67,1,523,194,2682,0.565217391304348,0.0217391304347826,0,0,0.0108695652173913,0,0.0108695652173913,0,0,0,25.5,4.59782608695652,0.217391304347826,0.489130434782609,0.293478260869565,0.293478260869565,0.58695652173913,0.119565217391304,0,0,0.83695652173913,0.152173913043478,0,0.0108695652173913,0.728260869565217,0,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.684782608695652,0.956521739130435,0.728260869565217,0,0,1,0,0,0,0,0,0,0,7,1,10,5,1,10
2011,7026,125,78.371014735267,0.0865384615384615,0,3095.57692307692,0.475806451612903,39.3739837398374,0.0569105691056911,0,0.184,49.0810810810811,0,0,0,0,0,0,0,10,36111,18,3,57,67,1,523,341,2185,0.328,0.008,0,0,0,0,0.008,0,0,0,26.128,4.68,0.2,0.488,0.312,0.336,0.472,0.152,0.04,0,0.832,0.12,0.008,0.04,0.608,0.144,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.424,0.968,0.512,0,0,0,1,0,0,0,0,0,0,7,1,10,5,1,10
2012,7026,76,77.3904588372159,0.0909090909090909,0.0303030303030303,3015.72727272727,0.407894736842105,38.4605263157895,0.118421052631579,0.0526315789473684,0.0526315789473684,49.3970588235294,0,0,0,0,0,0,0,10,36111,18,3,57,67,1,523,434,4460,0.460526315789474,0.0263157894736842,0,0,0,0,0.0263157894736842,0,0,0,25.6447368421053,3.35526315789474,0.210526315789474,0.565789473684211,0.223684210526316,0.473684210526316,0.460526315789474,0.0657894736842105,0,0,0.802631578947368,0.131578947368421,0,0.0657894736842105,0.618421052631579,0.0789473684210526,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.539473684210526,0.973684210526316,0.697368421052632,0,0,0,0,1,0,0,0,0,0,7,1,10,5,1,10
2013,7026,81,76.7842733332856,0.0606060606060606,0,2978.60606060606,0.4375,38.8,0.0625,0,0.135802469135802,49.0405405405405,1,1,0,0,0,0,0,10,36111,18,3,57,67,1,523,275,3436,0.567901234567901,0.0246913580246914,0,0,0,0,0.0246913580246914,0,0,0,26.2592592592593,5.33333333333333,0.222222222222222,0.432098765432099,0.345679012345679,0.222222222222222,0.555555555555556,0.222222222222222,0,0,0.814814814814815,0.148148148148148,0.0123456790123457,0.0246913580246914,0.703703703703704,0,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.604938271604938,0.975308641975309,0.666666666666667,0,0,0,0,0.222222222222222,0.777777777777778,0,0,0,0,7,1,10,5,1,10
2014,7026,108,75.9546898054767,0.108695652173913,0.0108695652173913,2944.38043478261,0.401869158878505,38.6542056074766,0.121495327102804,0.0280373831775701,0.0925925925925926,49.2718446601942,1,1,1,1,1,1,0,10,36111,18,3,57,67,1,523,478,4551,0.703703703703704,0.0185185185185185,0,0,0,0,0.0185185185185185,0,0,0,25.5462962962963,5.63888888888889,0.231481481481481,0.490740740740741,0.277777777777778,0.166666666666667,0.648148148148148,0.157407407407407,0.0277777777777778,0,0.796296296296296,0.175925925925926,0,0.0277777777777778,0.898148148148148,0.00925925925925926,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.759259259259259,0.935185185185185,0.824074074074074,0,0,0,0,0,0,1,0,0,0,7,1,10,5,1,10
2015,7026,146,75.628926006823,0.125,0.0078125,2944.59375,0.486301369863014,38.8068965517241,0.0758620689655172,0.00689655172413793,0.0684931506849315,48.9416058394161,1,1,1,1,1,1,1,10,36111,18,3,57,67,1,523,367,4574,0.636986301369863,0.0205479452054795,0,0,0,0,0.0136986301369863,0,0,0.00684931506849315,26.041095890411,6.16438356164384,0.232876712328767,0.458904109589041,0.308219178082192,0.150684931506849,0.575342465753425,0.191780821917808,0.0821917808219178,0,0.767123287671233,0.191780821917808,0,0.0410958904109589,0.897260273972603,0,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.732876712328767,0.938356164383562,0.801369863013699,0,0,0,0,0,0,0,1,0,0,7,1,10,5,1,10
2016,7026,103,78.8791390411171,0.0909090909090909,0.0227272727272727,3069.57954545455,0.41747572815534,38.8155339805825,0.0679611650485437,0.00970873786407767,0.0194174757281553,49.3333333333333,1,1,1,1,1,1,1,10,36111,18,3,57,67,1,523,0,0,0.650485436893204,0,0,0,0,0,0,0,0,0,27.3980582524272,5.9126213592233,0.135922330097087,0.543689320388349,0.320388349514563,0.16504854368932,0.601941747572815,0.16504854368932,0.0679611650485437,0,0.825242718446602,0.16504854368932,0,0.00970873786407767,0.87378640776699,0.0194174757281553,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.699029126213592,0.961165048543689,0.747572815533981,0,0,0,0,0,0,0,0,1,0,7,1,10,5,1,10
2017,7026,148,76.4838516232432,0.088,0.016,2989.464,0.412162162162162,38.9864864864865,0.0878378378378378,0,0.0472972972972973,49.0223880597015,1,1,1,1,1,1,1,10,36111,18,3,57,67,1,523,488,3994,0.486486486486487,0,0,0,0,0,0,0,0,0,25.1756756756757,5.47297297297297,0.243243243243243,0.472972972972973,0.283783783783784,0.236486486486486,0.554054054054054,0.121621621621622,0.0878378378378378,0,0.804054054054054,0.162162162162162,0.0202702702702703,0.0135135135135135,0.858108108108108,0.0540540540540541,0,72.274673,28108,40.957451,15928.762,8084,87,1,1,0.574324324324324,0.925675675675676,0.662162162162162,0,0,0,0,0,0,0,0,0,1,7,1,10,5,1,10
2008,7027,271,79.8957671197813,0.0740740740740741,0.0037037037037037,3132.33333333333,0.509225092250922,39.1529850746269,0.0522388059701493,0.0111940298507463,0.0885608856088561,49.6111111111111,0,0,0,0,0,0,0,11,87603,13,5,45,56,3,1722,178,616,0.638376383763838,0.014760147601476,0,0,0,0,0.003690036900369,0.00738007380073801,0,0.003690036900369,24.8413284132841,6.83025830258303,0.107011070110701,0.734317343173432,0.158671586715867,0.143911439114391,0.398523985239852,0.394833948339483,0.029520295202952,0.033210332103321,0.538745387453875,0.413284132841328,0.00738007380073801,0.040590405904059,0.793357933579336,0,0,22.88938,16440,16.277,11690.955,22145,35,1,1,0.003690036900369,0.701107011070111,0.003690036900369,1,0,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2009,7027,702,79.4838585138932,0.0884450784593438,0.00570613409415121,3094.71041369472,0.482905982905983,38.9170243204578,0.0572246065808298,0.00429184549356223,0.047008547008547,49.4828571428571,0,0,0,0,0,0,0,11,87603,13,5,45,56,3,1722,193,732,0.837606837606838,0.00284900284900285,0,0,0,0,0.00142450142450142,0,0,0.00142450142450142,24.2108262108262,7.37606837606838,0.209401709401709,0.612535612535613,0.178062678062678,0.0911680911680912,0.41025641025641,0.407407407407407,0.0527065527065527,0.0384615384615385,0.495726495726496,0.433048433048433,0.00284900284900285,0.0683760683760684,0.686609686609687,0,0,22.88938,16440,16.277,11690.955,22145,35,1,1,0.0056980056980057,0.861823361823362,0.0056980056980057,0,1,0,0,0,0,0,0,0,0,7,1,10,5,1,10
2010,7027,834,78.7335179656142,0.0971223021582734,0.00599520383693046,3084.38848920863,0.516786570743405,39.1213942307692,0.0360576923076923,0.00600961538461538,0.0479616306954436,49.3793517406963,0,0,0,0,0,0,0,11,87603,13,5,45,56,3,1722,185,881,0.922062350119904,0.00239808153477218,0,0,0.00119904076738609,0,0,0.00119904076738609,0,0,24.2961630695444,6.73021582733813,0.247002398081535,0.565947242206235,0.18705035971223,0.0971223021582734,0.480815347721823,0.406474820143885,0.0155875299760192,0,0.448441247002398,0.477218225419664,0.00959232613908873,0.0647482014388489,0.75779376498801,0.00359712230215827,0.0227817745803357,22.88938,16440,16.277,11690.955,22145,35,1,1,0.00359712230215827,0.940047961630695,0.00359712230215827,0,0,1,0,0,0,0,0,0,0,7,1,10,5,1,10
2011,7027,900,79.6475280294248,0.0477897252090801,0.004778972520908,3122.5376344086,0.520044543429844,39.1568409343715,0.0556173526140156,0.00444938820912125,0.0544444444444444,49.7657342657343,0,0,0,0,0,0,0,11,87603,13,5,45,56,3,1722,166,835,0.926666666666667,0.01,0,0,0.00666666666666667,0,0.00222222222222222,0.00111111111111111,0,0,24.3066666666667,7.03333333333333,0.243333333333333,0.567777777777778,0.188888888888889,0.0788888888888889,0.457777777777778,0.424444444444444,0.0388888888888889,0,0.464444444444444,0.464444444444444,0.00555555555555556,0.0655555555555556,0.852222222222222,0.01,0,22.88938,16440,16.277,11690.955,22145,35,1,1,0.00777777777777778,0.935555555555556,0.00777777777777778,0,0,0,1,0,0,0,0,0,0,7,1,10,5,1,10
2012,7027,842,80.0317322171318,0.0464516129032258,0.00387096774193548,3143.14322580645,0.495838287752675,39.1904761904762,0.0440476190476191,0.00119047619047619,0.0795724465558195,49.6821026282854,0,0,0,0,0,0,0,11,87603,13,5,45,56,3,1722,107,709,0.954869358669834,0.0154394299287411,0,0,0.00475059382422803,0,0,0,0,0.0106888361045131,24.1923990498812,6.70190023752969,0.263657957244656,0.552256532066508,0.184085510688836,0.102137767220903,0.459619952494062,0.438242280285036,0,0,0.540380047505938,0.39667458432304,0.00593824228028504,0.0570071258907363,0.926365795724466,0.00831353919239905,0,22.88938,16440,16.277,11690.955,22145,35,1,1,0.00356294536817102,0.961995249406176,0.00475059382422803,0,0,0,0,1,0,0,0,0,0,7,1,10,5,1,10
2013,7027,841,79.890417728658,0.0465116279069767,0.00129198966408269,3143.6330749354,0.486904761904762,39.2619047619048,0.0357142857142857,0.00238095238095238,0.103448275862069,49.4207240948814,1,1,0,0,0,0,0,11,87603,13,5,45,56,3,1722,181,1298,0.89179548156956,0.00594530321046373,0,0,0.00237812128418549,0,0,0,0,0.00356718192627824,24.7764565992866,6.82401902497027,0.237812128418549,0.530321046373365,0.231866825208086,0.093935790725327,0.443519619500595,0.462544589774078,0,0,0.479191438763377,0.462544589774078,0.00713436385255648,0.0511296076099881,0.9179548156956,0.00832342449464923,0,22.88938,16440,16.277,11690.955,22145,35,1,1,0.00237812128418549,0.903686087990488,0.00237812128418549,0,0,0,0,0.236623067776457,0.763376932223543,0,0,0,0,7,1,10,5,1,10
